website_name;competence_date;country_code;currency_code;brand;category1_code;category2_code;category3_code;product_code;title;itemurl;imageurl;full_price;price;full_price_eur;price_eur;flg_discount
Dior;2025-11-18;CHI;CNY;DIOR;BABY DIOR;NEWBORN;READY-TO-WEAR;1WBG53KDOA_Y353;新生儿礼品套装 白色棉质双面布和缎面面料搭配淡粉色茹伊印花 | DIOR;https://www.dior.cn/zh_cn/fashion/products/1WBG53KDOA_Y353-%E6%96%B0%E7%94%9F%E5%84%BF%E7%A4%BC%E5%93%81%E5%A5%97%E8%A3%85-%E6%B7%A1%E7%B2%89%E8%89%B2%E5%92%8C%E7%99%BD%E8%89%B2%E5%8F%8C%E9%9D%A2%E5%B8%83%E5%92%8C%E6%A3%89%E7%BC%8E%EF%BC%8C%E8%8C%B9%E4%BC%8A%E5%8D%B0%E8%8A%B1;https://assets.christiandior.cn/is/image/diorprod/1WBG53KDOAY353_E01-1?$default_GHC$&crop=292,598,1493,1167&wid=1850&hei=2000&scale=0.875;3600.00;3600.00;436.41;436.41;0
Dior;2025-11-18;CHI;CNY;DIOR;MEN;LEATHER GOODS;BACKPACKS;1VOBA088YKY_H00N;Rider 双肩背包 黑色 Oblique 印花面料 | DIOR;https://www.dior.cn/zh_cn/fashion/products/1VOBA088YKY_H00N-rider-%E5%8F%8C%E8%82%A9%E8%83%8C%E5%8C%85-%E9%BB%91%E8%89%B2-oblique-%E5%8D%B0%E8%8A%B1%E9%9D%A2%E6%96%99;https://assets.christiandior.cn/is/image/diorprod/1VOBA088YKYH00N_E01?$default_GHC$&crop=399,148,1112,1652&wid=1850&hei=2000&scale=0.875;22000.00;22000.00;2666.98;2666.98;0
Dior;2025-11-18;CHI;CNY;DIOR;MEN;LEATHER GOODS;BACKPACKS;1HTBA205LGP_H140;Dior Hit The Road 翻盖双肩背包 米色 Dior Gravity Outline 皮革和米色粒面牛皮革 | DIOR;https://www.dior.cn/zh_cn/fashion/products/1HTBA205LGP_H140-dior-hit-the-road-%E7%BF%BB%E7%9B%96%E5%8F%8C%E8%82%A9%E8%83%8C%E5%8C%85-%E7%B1%B3%E8%89%B2-dior-gravity-outline-%E7%9A%AE%E9%9D%A9%E5%92%8C%E7%B1%B3%E8%89%B2%E7%B2%92%E9%9D%A2%E7%89%9B%E7%9A%AE%E9%9D%A9;https://assets.christiandior.cn/is/image/diorprod/1HTBA205LGPH140_E01-1?$default_GHC$&crop=319,153,1362,1654&wid=1850&hei=2000&scale=0.875;40000.00;40000.00;4849.07;4849.07;0
Dior;2025-11-18;CHI;CNY;DIOR;MEN;LEATHER GOODS;SHOULDER BAGS;1ADPO276YKY_H03E;马鞍三件套手袋 黑色 Oblique 印花面料 | DIOR;https://www.dior.cn/zh_cn/fashion/products/1ADPO276YKY_H03E-%E9%A9%AC%E9%9E%8D%E4%B8%89%E4%BB%B6%E5%A5%97%E6%89%8B%E8%A2%8B-%E9%BB%91%E8%89%B2-oblique-%E5%8D%B0%E8%8A%B1%E9%9D%A2%E6%96%99;https://assets.christiandior.cn/is/image/diorprod/1ADPO276YKYH03E_E01?$default_GHC$&crop=280,915,1496,956&wid=1850&hei=2000&scale=0.875;21000.00;21000.00;2545.76;2545.76;0
Dior;2025-11-18;CHI;CNY;DIOR;MEN;LEATHER GOODS;BACKPACKS;1ADBA212YKS_H03E;马鞍拉链双肩背包 黑色 Oblique 印花面料和黑色粒面牛皮革 | DIOR;https://www.dior.cn/zh_cn/fashion/products/1ADBA212YKS_H03E-%E9%A9%AC%E9%9E%8D%E6%8B%89%E9%93%BE%E5%8F%8C%E8%82%A9%E8%83%8C%E5%8C%85-%E9%BB%91%E8%89%B2-oblique-%E5%8D%B0%E8%8A%B1%E9%9D%A2%E6%96%99%E5%92%8C%E9%BB%91%E8%89%B2%E7%B2%92%E9%9D%A2%E7%89%9B%E7%9A%AE%E9%9D%A9;https://assets.christiandior.cn/is/image/diorprod/1ADBA212YKSH03E_E01?$default_GHC$&crop=390,49,1225,1758&wid=1850&hei=2000&scale=0.875;25000.00;25000.00;3030.67;3030.67;0
Dior;2025-11-18;CHI;CNY;DIOR;MEN;CLOTHING;JEANS;193DS10J217X_C900;修身版型牛仔裤 黑色棉质混纺牛仔布 | DIOR;https://www.dior.cn/zh_cn/fashion/products/193DS10J217X_C900-%E4%BF%AE%E8%BA%AB%E5%89%AA%E8%A3%81%E7%89%9B%E4%BB%94%E8%A3%A4-%E9%BB%91%E8%89%B2%E6%A3%89%E8%B4%A8%E6%B7%B7%E7%BA%BA%E7%89%9B%E4%BB%94%E5%B8%83;https://assets.christiandior.cn/is/image/diorprod/193DS10J217XC900_E01?$default_GHC$&crop=749,147,502,1476&wid=1850&hei=2000&scale=0.875;7900.00;7900.00;957.69;957.69;0
Dior;2025-11-18;CHI;CNY;DIOR;WOMEN;ACCESSORIES;SQUARES 90X90 CM;15DOB090I600_C341;Diortwin 方巾 90 厘米酒红色和海军蓝色桑蚕丝斜纹面料 Oblique 印花 | DIOR;https://www.dior.cn/zh_cn/fashion/products/15DOB090I600_C341-diortwin-%E6%96%B9%E5%B7%BE-90-%E5%8E%98%E7%B1%B3%E9%85%92%E7%BA%A2%E8%89%B2%E5%92%8C%E6%B5%B7%E5%86%9B%E8%93%9D%E8%89%B2%E6%A1%91%E8%9A%95%E4%B8%9D%E6%96%9C%E7%BA%B9%E9%9D%A2%E6%96%99-oblique-%E5%8D%B0%E8%8A%B1;https://assets.christiandior.cn/is/image/diorprod/15DOB090I600C341_E01-1?$default_GHC$&crop=234,235,1533,1534&wid=1850&hei=2000&scale=0.875;4950.00;4950.00;600.07;600.07;0
Dior;2025-11-18;CHI;CNY;DIOR;WOMEN;ACCESSORIES;SQUARES 70X70 CM;15DOB070I600_C541;Diortwin 方巾 70 厘米海军蓝色桑蚕丝斜纹面料 Oblique 印花 | DIOR;https://www.dior.cn/zh_cn/fashion/products/15DOB070I600_C541-diortwin-%E6%96%B9%E5%B7%BE-70-%E5%8E%98%E7%B1%B3%E6%B5%B7%E5%86%9B%E8%93%9D%E8%89%B2%E6%A1%91%E8%9A%95%E4%B8%9D%E6%96%9C%E7%BA%B9%E9%9D%A2%E6%96%99-oblique-%E5%8D%B0%E8%8A%B1;https://assets.christiandior.cn/is/image/diorprod/15DOB070I600C541_E01?$default_GHC$&crop=314,313,1375,1374&wid=1850&hei=2000&scale=0.875;3900.00;3900.00;472.78;472.78;0
Dior;2025-11-18;CHI;CNY;DIOR;WOMEN;CLOTHING;COATS;157C26A2827_X5576;大衣 蓝色绗缝效果塔夫绸科技面料超大藤格纹 | DIOR;https://www.dior.cn/zh_cn/fashion/products/157C26A2827_X5576-%E7%9F%AD%E6%AC%BE%E5%A4%A7%E8%A1%A3-%E8%93%9D%E8%89%B2%E7%BB%97%E7%BC%9D%E5%A1%94%E5%A4%AB%E7%BB%B8%E7%A7%91%E6%8A%80%E9%9D%A2%E6%96%99%E8%B6%85%E5%A4%A7%E8%97%A4%E6%A0%BC%E7%BA%B9;https://assets.christiandior.cn/is/image/diorprod/157C26A2827X5576_E01?$default_GHC$&crop=375,150,1251,1351&wid=1850&hei=2000&scale=0.875;26000.00;26000.00;3151.89;3151.89;0
Dior;2025-11-18;CHI;CNY;DIOR;WOMEN;CLOTHING;SKIRTS;151J21A1166_X9000;半裙 黑色绵羊毛和桑蚕丝混纺面料 | DIOR;https://www.dior.cn/zh_cn/fashion/products/151J21A1166_X9000-%E5%8D%8A%E8%A3%99-%E9%BB%91%E8%89%B2%E7%BB%B5%E7%BE%8A%E6%AF%9B%E5%92%8C%E6%A1%91%E8%9A%95%E4%B8%9D%E6%B7%B7%E7%BA%BA%E9%9D%A2%E6%96%99;https://assets.christiandior.cn/is/image/diorprod/151J21A1166X9000_E01-1?$default_GHC$&crop=463,150,1066,1471&wid=1850&hei=2000&scale=0.875;37000.00;37000.00;4485.39;4485.39;0
